X Y Z
4.432847e+06 2.795364e+05 5.147397e+06
4.434190e+06 2.869070e+05 5.145826e+06
4.435527e+06 2.942774e+05 5.144249e+06
4.436858e+06 3.016473e+05 5.142665e+06
4.438184e+06 3.090169e+05 5.141074e+06
4.439503e+06 3.163860e+05 5.139477e+06
4.440818e+06 3.237548e+05 5.137874e+06
4.442126e+06 3.311232e+05 5.136264e+06
4.443429e+06 3.384911e+05 5.134648e+06
4.444727e+06 3.458586e+05 5.133025e+06
4.446018e+06 3.532256e+05 5.131395e+06
4.447304e+06 3.605923e+05 5.129759e+06
4.448585e+06 3.679584e+05 5.128117e+06
4.449860e+06 3.753241e+05 5.126468e+06
4.451129e+06 3.826893e+05 5.124812e+06
4.452392e+06 3.900540e+05 5.123150e+06
4.453650e+06 3.974183e+05 5.121482e+06
4.454902e+06 4.047820e+05 5.119807e+06
4.456148e+06 4.121452e+05 5.118125e+06
4.457389e+06 4.195079e+05 5.116437e+06
4.458624e+06 4.268700e+05 5.114743e+06
4.459853e+06 4.342316e+05 5.113042e+06
4.461077e+06 4.415927e+05 5.111334e+06
4.462295e+06 4.489532e+05 5.109620e+06
4.463508e+06 4.563131e+05 5.107900e+06
4.464714e+06 4.636724e+05 5.106173e+06
4.465915e+06 4.710312e+05 5.104440e+06
4.467111e+06 4.783893e+05 5.102700e+06
4.468300e+06 4.857469e+05 5.100954e+06
4.469484e+06 4.931038e+05 5.099201e+06
4.470663e+06 5.004601e+05 5.097442e+06
4.471835e+06 5.078158e+05 5.095676e+06
4.473002e+06 5.151708e+05 5.093904e+06
4.474163e+06 5.225251e+05 5.092125e+06
4.475319e+06 5.298788e+05 5.090340e+06
4.476469e+06 5.372319e+05 5.088549e+06
4.477613e+06 5.445842e+05 5.086751e+06
4.478751e+06 5.519358e+05 5.084946e+06
4.479884e+06 5.592868e+05 5.083135e+06
4.481011e+06 5.666370e+05 5.081318e+06
4.482133e+06 5.739865e+05 5.079494e+06
4.483248e+06 5.813353e+05 5.077664e+06
4.484358e+06 5.886834e+05 5.075827e+06
4.485462e+06 5.960307e+05 5.073984e+06
4.486561e+06 6.033772e+05 5.072135e+06
4.487654e+06 6.107230e+05 5.070279e+06
4.488741e+06 6.180680e+05 5.068416e+06
4.489822e+06 6.254122e+05 5.066548e+06
4.490898e+06 6.327556e+05 5.064672e+06
4.491968e+06 6.400982e+05 5.062791e+06
4.493033e+06 6.474400e+05 5.060903e+06
4.494091e+06 6.547810e+05 5.059008e+06
4.495144e+06 6.621211e+05 5.057107e+06
4.496191e+06 6.694604e+05 5.055200e+06
4.497233e+06 6.767988e+05 5.053286e+06
4.498268e+06 6.841364e+05 5.051366e+06
4.499298e+06 6.914731e+05 5.049439e+06
4.500323e+06 6.988090e+05 5.047506e+06
4.501341e+06 7.061439e+05 5.045567e+06
4.502354e+06 7.134780e+05 5.043621e+06
4.503361e+06 7.208111e+05 5.041669e+06
